name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
PC-104|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / PC-104|PM-RRELATS|FAE-4|84733080|6,35|5
PCI-104|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / PCI-104|PM-RRELATS|FAE-4|84733080|6,35|5
PICO-ITX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / PICO-ITX|PM-RRELATS|FAE-4|84733080|6,35|5
NANO-ITX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / NANO-ITX|PM-RRELATS|FAE-4|84733080|6,35|5
MINI-ITX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / MINI-ITX|PM-RRELATS|FAE-4|84733080|6,35|5
PANELES|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / PANELES|PM-ILED|FAE-9|85437090|13,1|4
NUC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / NUC|PM-RRELATS|FAE-4|84733080|6,35|5
OTRO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / OTRO|PM-RRELATS|FAE-4|84733080|6,35|5
MOTHERBOARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD|PM-RRELATS|FAE-4|84733080|6,35|4
MICRO-ATX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD / MICRO-ATX|PM-RRELATS|FAE-4|84733080|6,35|5
ATX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD / ATX|PM-RRELATS|FAE-4|84733080|6,35|5
FULL SIZE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD / FULL SIZE|PM-RRELATS|FAE-4|84733080|6,35|5
HALF SIZE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / MOTHERBOARD / HALF SIZE|PM-RRELATS|FAE-4|84733080|6,35|5
COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|PM-RRELATS|FAE-4|84733080|6,35|4
COM EXPRESS|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / COM EXPRESS|PM-RRELATS|FAE-4|84733080|6,35|5
ETX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / ETX|PM-RRELATS|FAE-4|84733080|6,35|5
XTX|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / COMPUTER ON MODULE / XTX|PM-RRELATS|FAE-4|84733080|6,35|5
