name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
CON VENTILADOR|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / DISIPADOR|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / DISIPADOR / CON VENTILADOR|PM-RRELATS|FAE-4|84733080|6,35|5
SIN VENTILADOR|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / DISIPADOR|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / DISIPADOR / SIN VENTILADOR|PM-RRELATS|FAE-4|84733080|6,35|5
CABLE|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / CABLE|PM-RRELATS|FAE-4|84733080|6,35|4
PUERTO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / CABLE|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / CABLE / PUERTO|PM-RRELATS|FAE-4|84733080|6,35|5
OTRO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / CABLE|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / CABLE / OTRO|PM-RRELATS|FAE-4|84733080|6,35|5
ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|PM-RRELATS|FAE-4|84733080|6,35|4
FUENTE INTERNA AC/DC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION / FUENTE INTERNA AC/DC|PM-RRELATS|FAE-4|85043180|6,35|5
CONVERTIDOR INTERNO DC/DC|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION / CONVERTIDOR INTERNO DC/DC|PM-RRELATS|FAE-4|84733080|6,35|5
FUENTE EXTERNA|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION / FUENTE EXTERNA|PM-RRELATS|FAE-4|85043180|6,35|5
FUENTE CARRIL DIN|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION / FUENTE CARRIL DIN|PM-RRELATS|FAE-4|85043180|6,35|5
SAI|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION / SAI|PM-RRELATS|FAE-4|85043180|6,35|5
TIRMS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / TIRMS|PM-RRELATS|FAE-4|85043180|13,1|4
CABLE|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION|HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PERIFERICO / ALIMENTACION / CABLE|PM-RRELATS|FAE-4|85444290|6,35|5
SOFTWARE|HARDWARE INDUSTRIAL|HARDWARE INDUSTRIAL / SOFTWARE|PM-RRELATS|FAE-4||0,1|2
SISTEMA OPERATIVO|HARDWARE INDUSTRIAL / SOFTWARE|HARDWARE INDUSTRIAL / SOFTWARE / SISTEMA OPERATIVO|PM-RRELATS|FAE-4||0,1|3
APLICACION|HARDWARE INDUSTRIAL / SOFTWARE|HARDWARE INDUSTRIAL / SOFTWARE / APLICACION|PM-RRELATS|FAE-4|84733080|0,1|3
SISTEMAS RUGGED|HARDWARE INDUSTRIAL|HARDWARE INDUSTRIAL / SISTEMAS RUGGED|PM-RRELATS|FAE-4|84733080|5,1|2
PDA|HARDWARE INDUSTRIAL / SISTEMAS RUGGED|HARDWARE INDUSTRIAL / SISTEMAS RUGGED / PDA|PM-RRELATS|FAE-4|84733080|5,1|3
TABLET|HARDWARE INDUSTRIAL / SISTEMAS RUGGED|HARDWARE INDUSTRIAL / SISTEMAS RUGGED / TABLET|PM-RRELATS|FAE-4|84713000|5,1|3
TIRA DE LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / TIRA DE LED|PM-RRELATS|FAE-4|84713000|13,1|3
STANDARD|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / TIRA DE LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / TIRA DE LED / STANDARD|PM-ILED|FAE-9|84733080|13,1|4
A MEDIDA|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / TIRA DE LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / TIRA DE LED / A MEDIDA|PM-ILED|FAE-9|84733080|13,1|4
LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED|PM-ILED|FAE-9|84733080|13,1|3
COMPONENTE|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / COMPONENTE|PM-ILED|FAE-9|85319000|13,1|4
DIP|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / COMPONENTE|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / COMPONENTE / DIP|PM-ILED|FAE-9|85414010|13,1|5
COLLINGWOOD|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / COLLINGWOOD|PM-ILED|FAE-9|85437090|13,1|4
SMD|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / COMPONENTE|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / COMPONENTE / SMD|PM-ILED|FAE-9|85414010|13,1|5
DISPLAY|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / DISPLAY|PM-ILED|FAE-9|85319000|13,1|4
7 SEGMENTOS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / DISPLAY|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / DISPLAY / 7 SEGMENTOS|PM-ILED|FAE-9|85312095|13,1|5
MATRICIAL|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / DISPLAY|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / LED / DISPLAY / MATRICIAL|PM-ILED|FAE-9|85319000|13,1|5
SEMICONDUCTORES & ELECTROMECÁNICOS||SEMICONDUCTORES & ELECTROMECÁNICOS||||0|1
SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|PM-CGARCIA|FAE-9|90271090|6,6|2
MOS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / MOS|PM-CGARCIA|FAE-9|90271090|6,6|3
ELECTROQUIMICO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ELECTROQUIMICO|PM-CGARCIA|FAE-9|90271090|6,6|3
CATALITICO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / CATALITICO|PM-CGARCIA|FAE-9|90271090|6,6|3
NDIR|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / NDIR|PM-CGARCIA|FAE-4|90271090|6,6|3
PRECALIBRADO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / PRECALIBRADO|PM-CGARCIA|FAE-9|90271090|6,6|3
ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO|PM-CGARCIA|FAE-9|90271090|6,6|3
SDFS|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / SDFS|PM-CGARCIA|FAE-9|90271090|13,1|4
COMUNICACIONES INDUSTRIALES||COMUNICACIONES INDUSTRIALES||||0|1
DISPOSITIVOS M2M|COMUNICACIONES INDUSTRIALES|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M|PM-M2M|FAE-8|84733080|7,25|2
NETWORKING|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING|PM-M2M|FAE-8|84733080|7,25|3
ROUTER|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER|PM-M2M|FAE-8|84733080|7,25|4
3G|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / 3G|PM-M2M|FAE-8|85176200|7,25|5
ZOCALO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO / ZOCALO|PM-CGARCIA|FAE-9|90271090|6,6|4
KIT EVALUACION|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES DE GAS / ACCESORIO / KIT EVALUACION|PM-CGARCIA|FAE-9|90271090|6,6|4
SENSORES|SEMICONDUCTORES & ELECTROMECÁNICOS|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES|PM-CGARCIA|FAE-9|85416000|4,1|2
PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|PM-CGARCIA|FAE-9|85416000|4,1|3
REED|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED|PM-CGARCIA|FAE-9|85416000|4,1|4
AMPOLLA|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / AMPOLLA|PM-CGARCIA|FAE-9|85364900|4,1|5
SENSOR|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / SENSOR|PM-CGARCIA|FAE-9|85364900|4,1|5
RELÚ|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / RELÚ|PM-CGARCIA|FAE-9|85364900|4,1|5
CUSTOM|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / REED / CUSTOM|PM-CGARCIA|FAE-9|85364900|4,1|5
IMAN|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / IMAN|PM-CGARCIA|FAE-9|85364900|4,1|4
EFECTO HALL|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / EFECTO HALL|PM-CGARCIA|FAE-9|85364900|4,1|4
VELOCIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / VELOCIDAD|PM-CGARCIA|FAE-9|85364900|4,1|4
4G|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / 4G|PM-M2M|FAE-8|85176200|7,25|5
ANGULAR|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / ANGULAR|PM-M2M|FAE-8|85176200|4,1|4
CORRIENTE|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / PROXIMIDAD / CORRIENTE|PM-CGARCIA|FAE-9|85364900|4,1|4
NIVEL|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL|PM-CGARCIA|FAE-9|85364900|4,1|3
SENSOR|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL / SENSOR|PM-CGARCIA|FAE-9|85364900|4,1|4
FLOTADOR|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL|SEMICONDUCTORES & ELECTROMECÁNICOS / SENSORES / NIVEL / FLOTADOR|PM-CGARCIA|FAE-9|85364900|4,1|4
IMPRESION|SEMICONDUCTORES & ELECTROMECÁNICOS|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION|PM-CGARCIA|FAE-9|39269097|2,35|2
IMPRESORA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA|PM-CGARCIA|FAE-9|39269097|2,35|3
OEM|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM|PM-CGARCIA|FAE-9|39269097|2,35|4
PANELABLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM / PANELABLE|PM-CGARCIA|FAE-4|84729080|2,35|5
KIOSKO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM / KIOSKO|PM-CGARCIA|FAE-4|84729080|2,35|5
CARROZADA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / OEM / CARROZADA|PM-CGARCIA|FAE-4|84729080|2,35|5
MARCAJE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE|PM-CGARCIA|FAE-4|84729080|2,35|4
DESKTOP|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE / DESKTOP|PM-CGARCIA|FAE-9|84729080|2,35|5
5G|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / 5G|PM-M2M|FAE-8|85176200|7,25|5
PORTABLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / IMPRESORA / MARCAJE / PORTABLE|PM-CGARCIA|FAE-9|84729080|2,35|5
CONSUMIBLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE|PM-CGARCIA|FAE-9|84729080|2,35|3
ETIQUETA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA|PM-CGARCIA|FAE-9||2,35|4
GENERAL|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA / GENERAL|PM-CGARCIA|FAE-9||2,35|5
MANGUITO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / ETIQUETA / MANGUITO|PM-CGARCIA|FAE-9|39269097|2,35|5
CARTUCHO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / CONSUMIBLE / CARTUCHO|PM-CGARCIA|FAE-9|39269097|2,35|4
ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|PM-CGARCIA|FAE-9|39269097|2,35|3
CABEZAL|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL|PM-CGARCIA|FAE-9|84729080|2,35|4
CABEZAL|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL / CABEZAL|PM-CGARCIA|FAE-4|84729080|2,35|5
ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CABEZAL / ACCESORIO|PM-CGARCIA|FAE-4|84729080|2,35|5
GUILLOTINA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / GUILLOTINA|PM-CGARCIA|FAE-4|84729080|2,35|4
CUTTER|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CUTTER|PM-CGARCIA|FAE-4|84729080|2,35|4
OTRO|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / ROUTER / OTRO|PM-M2M|FAE-8|85176200|7,25|5
CONTROLADOR|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR|PM-M2M|FAE-8|85176200|2,35|4
PCB|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR / PCB|PM-CGARCIA|FAE-4|84729080|2,35|5
CABLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR / CABLE|PM-CGARCIA|FAE-4|84729080|2,35|5
CHIPSET|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / CONTROLADOR / CHIPSET|PM-CGARCIA|FAE-4|84729080|2,35|5
ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION|PM-CGARCIA|FAE-4|84729080|2,35|4
FUENTE EXTERNA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / FUENTE EXTERNA|PM-CGARCIA|FAE-4|84729080|2,35|5
FUENTE INTERNA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / FUENTE INTERNA|PM-CGARCIA|FAE-9|84733080|2,35|5
BATERIA|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / BATERIA|PM-CGARCIA|FAE-9|85043180|2,35|5
CABLE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / CABLE|PM-CGARCIA|FAE-4|85043180|2,35|5
OTRO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / OTRO|PM-CGARCIA|FAE-4|85043180|2,35|5
SOFTWARE|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO|SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / SOFTWARE|PM-CGARCIA|FAE-9|84729080|2,35|4
SISTEMAS ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION|PM-RRELATS|FAE-4||7,1|2
ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION|PM-RRELATS|FAE-4||7,1|3
ANTENAS|COMUNICACIONES INDUSTRIALES|COMUNICACIONES INDUSTRIALES / ANTENAS|PM-M2M|FAE-8||7,25|2
ANTENA EXTERNA|COMUNICACIONES INDUSTRIALES / ANTENAS|COMUNICACIONES INDUSTRIALES / ANTENAS / ANTENA EXTERNA|PM-M2M|FAE-8||7,25|3
FUENTE AC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC|PM-M2M|FAE-8||7,1|4
CHASIS|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / CHASIS|PM-CGARCIA|FAE-9|85043180|7,1|5
OPEN FRAME|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / OPEN FRAME|PM-CGARCIA|FAE-9|85043180|7,1|5
PCB|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / PCB|PM-CGARCIA|FAE-4|85043180|7,1|5
CUSTOM/SEMICUSTOM|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / CUSTOM/SEMICUSTOM|PM-CGARCIA|FAE-4|85043180|7,1|5
CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|PM-CGARCIA|FAE-4|85043180|7,1|4
CHASIS|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / CHASIS|PM-CGARCIA|FAE-9|85043180|7,1|5
OPEN FRAME|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / OPEN FRAME|PM-CGARCIA|FAE-9|85043180|7,1|5
PCB|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / PCB|PM-CGARCIA|FAE-9|85043180|7,1|5
EV|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / EV|PM-CGARCIA|FAE-9|85043180|7,1|5
CUSTOM/SEMICUSTOM|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / CUSTOM/SEMICUSTOM|PM-CGARCIA|FAE-9|85043180|7,1|5
HIREL|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC|SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / HIREL|PM-CGARCIA|FAE-9|85043180|7,1|5
SWITCH|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING|COMUNICACIONES INDUSTRIALES / DISPOSITIVOS M2M / NETWORKING / SWITCH|PM-CGARCIA|FAE-9|85043180|7,25|4
