"name"|"parent_id"|"complete_name"|"pms"|"faes"|"arancel_id"|"logistics_cost"|"level"
"OTRO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE DISPLAY / OTRO"|"Aina Servent"|"Sergi Gomis"|"85444290"|"7,35"|"5"
"CABLE TACTIL"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CABLE TACTIL"|"Aina Servent"|"Sergi Gomis"|"85444290"|"7,35"|"4"
"CIRCUITO INTEGRADO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO"|"SOLUCIONES DE VISUALIZACION / VISUALIZACION / ACCESORIO / CIRCUITO INTEGRADO"|"Aina Servent"|"Sergi Gomis"|"85423990"|"7,35"|"4"
"HARDWARE INDUSTRIAL"|""|"HARDWARE INDUSTRIAL"|""|""|""|"0"|"1"
"SISTEMAS INDUSTRIALES"|"HARDWARE INDUSTRIAL"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES"|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"2"
"PLACA CPU"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU"|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"3"
"EMBEDDED"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED"|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"4"
"1.8"""|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / 1.8"""|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"5"
"3.5"""|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / 3.5"""|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"5"
"5.25"""|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / 5.25"""|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"5"
"EPIC"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED"|"HARDWARE INDUSTRIAL / SISTEMAS INDUSTRIALES / PLACA CPU / EMBEDDED / EPIC"|"Roger Relats"|"Rubén Pérez"|"84733080"|"6,35"|"5"
