code;name;planned_revenue;probability;partner_id;agent_id;team_id;date_deadline;priority;tag_id;campaign_id;medium_id;partner_name;street;street2;zip;city;state_id;country_id;phone;mobile;email_from;website;contact_name;description;type
OPPN-00040;FABRICACIÓN  NUEVAS MAQUINAS B (RECREATIVO);61.340;;100009;V-JCVAZ;;07/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00041;INTERCONEXIONADO MAQUINAS TIPO B (RECREATIVO);26.000;;100009;V-JCVAZ;;07/04/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00042;Deteccion de Basura Espacial (Telecomunicaciones Satelite)  BUCK  Banda  Ka 10W;2.855;;101433;V-DMART;;06/03/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00043;Deteccion de Basura Espacial (Telecomunicaciones Satelite)  BUCK  Banda  Ka 10W;1.000;;101433;V-DMART;;04/04/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00044;DETECTOR FUGAS GASES (INGENIERIA);43.890;;102229;V-HLAMA;;27/12/2016;;;;;;;;;;;;;;;;;;opportunity
OPPN-00045;Sincronismo de equipos (Broadcasting);965;;101915;V-BNC-NORT;;24/10/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00046;Gestion de Flotas (Automocion);3.000;;102503;V-DMART;;23/04/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00047;Datalogger (Ingenieria);50.000;;101799;V-DMART;;13/05/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00048;Minitrucker;1.970;;101799;V-BNC-NORT;;28/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00049;Sincronización de Balizas  para Cableado Electrico;1.250;;101799;V-BNC-NORT;;28/04/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00050;AIP-1010: Audio- Video Streaming por IP (Audio & Video);24.810;;102339;V-IGAR;;14/05/2018;;;;;;;;;;;;;;;;;;opportunity
OPPN-00051;CONTROL MAQUINA (Maquina control productos hortofruticolas);10.000;;130081;V-EMOYA;;19/05/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00052;TRACKING (RENOVABLES/AEROGENERADORES);5.000;;101769;V-XAND-AR;;10/01/2014;;;;;;;;;;;;;;;;;;opportunity
OPPN-00053;BEETRACKER (Ingenieria);2.289;;103272;V-MHINAREJ;;03/10/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00054;BEETRACKER (Ingenieria);12.780;;103272;V-MHINAREJ;;03/10/2017;;;;;;;;;;;;;;;;;;opportunity
OPPN-00055;ALARMAS INTRUSIÓN (SEGURIDAD);2.000;;100287;V-BNC-CENT;;21/09/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00056;LB Traker;9.570;;102186;V-DMART;;05/05/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00057;TIPO C (MAQUINAS RECREATIVAS);0;;110050;V-AVAC;;01/09/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00058;Amplificadores Rack disipacion por liquido (Broadcasting);0;;120359;V-BNC-NORT;;07/07/2015;;;;;;;;;;;;;;;;;;opportunity
OPPN-00059;WAPSMOTE (SENSORIZACIÓN/REDES);3.000;;101554;V-XAND-AR;;10/11/2013;;;;;;;;;;;;;;;;;;opportunity
OPPN-00060;Programador  control  de Accesos Onity (Montador);0;;102419;V-DMART;;04/02/2015;;;;;;;;;;;;;;;;;;opportunity
