product_code|partner_ref|min_quantity|create_date|create_user
PC9-121BSW502R4MS32L/R04|100816|30|2020-10-27|Núria Soler
PC9-185BSW5R4CF8FANL|100816|30|2020-10-27|Núria Soler
PC9-185BSW5R4MS32ZYGAL/R00|101623|4|2021-07-29|Núria Soler
PE12864WRF-055H09Q|100944|420|2013-01-08|
PE12864WRF-055H09Q|100944|0|2016-04-05|
PE12864WRF-055H09Q|100944|0|2019-10-16|
PE12864WRF-055H09Q|102434|240|2020-02-21|
PE12864WRM-004HL4Q|110473|50|2010-04-15|
PE12864WRM-004HL4Q|110473|221|2012-12-10|
PE12864WRM-004HL4Q|110473|211|2012-12-10|
PE12864WRM-004HL4Q|110473|163|2013-01-28|
PE12864WRM-004HL4Q|110473|139|2013-07-09|
PG16032WRT-BWH-H-Q|101092|270|2010-12-31|
PG16032WRT-BWH-H-Q|101092|210|2011-01-31|
PG16032WRT-BWH-H-Q|101092|150|2011-02-18|
PG16032WRT-BWH-H-Q|101092|90|2011-04-28|
PG16032WRT-BWH-H-Q|101092|30|2011-06-07|
PG16032WRT-BWH-H-Q|101092|310|2011-09-19|
PG16032WRT-BWH-H-Q|101092|250|2011-10-18|
PG16032WRT-BWH-H-Q|101092|0|2011-12-28|
PG16032WRT-BWH-H-Q|101092|70|2012-06-15|
PG16032WRT-BWH-H-Q|101092|10|2012-10-02|
PG240128WRM-AGAI09Q|101181|200|2010-06-30|
PG240128WRM-AGAI09Q|101282|0|2012-08-03|
PG240128WRM-AGAI09Q|101410|110|2021-07-28|Núria Soler
PG240128WRM-AGAI09Q|101410|110|2021-11-02|Núria Soler
PH102768T001-ZAA|100816|29|2016-03-18|
PH128800T004-ZZC04|120338|0|2019-06-27|
PH240320T-063-L04Q|100469|496|2019-05-14|
PH320240T-009-IC1Q|120432|350|2021-10-13|Núria Soler
PH480272T-005-I10Q|101797|48|2013-02-05|
PICO-CV01-A10-10|100816|0|2016-06-27|
PICO-CV01-A10-10|100816|0|2018-10-26|
PK-12N40PE-Q|100177|500|2009-04-06|
PK-21N30P-Q|101218|100|2009-03-17|
PK-21N30P-Q|101218|250|2011-02-10|
PLACA-COM-USB/SELF|100816|80|2020-10-27|Núria Soler
PM102-94-41020-000|100816|4|2016-03-15|
PM102-USB-CABLE|100816|0|2016-03-15|
PM6202B-CW5|100816|20|2019-09-10|
PM6202B-CW5|100816|30|2020-10-27|Núria Soler
PM6202B-CW5|100816|30|2020-10-27|Núria Soler
PM94-53018-000|100816|4|2019-02-14|
PROTEC2-BLANCO-2M|102028|10|2013-10-23|
PROTEC-ANCHO-C|101995|25|2013-05-02|
PT-4532PL-Q|100883|2160|2012-05-18|
R-6000HF 110MMX70M /O|101296|10|2020-01-24|
R-6000HF 110MMX70M /O|101296|4|2021-04-22|Núria Soler
RC1602A-FHW-STX|101656|100|2013-06-19|
RC1602B-BIW-ESX|110356|504|2018-12-11|
RC1602B-BIW-JSX|110356|0|2018-02-22|
RC1602E-BIW-JSX|120338|200|2013-03-05|
RC1602E-BIW-JSX|120338|200|2013-04-02|
RC1602E-BIW-JSX|120338|200|2013-04-23|
RC1602E-BIW-JSX|120338|200|2013-05-23|
REG-TACT-RGB|103336|3|2014-02-03|
RESISTENCIA-10KOHMS-/025W|101623|60|2020-09-28|
RTADBOXSU6P-2|101623|20|2020-11-30|Núria Soler
RTPC104-X11TG1|101623|20|2020-11-30|Núria Soler
RTUSB1830MEB|101623|20|2020-11-30|Núria Soler
RUT950_EU|100449|0|2019-10-15|
RUT955_EU|101181|10|2019-03-21|
RUT955_EU|104181|10|2019-07-04|
RUT955_EU|104181|10|2020-11-30|Núria Soler
S-1165B33MC-N6STFG|101128|150|2009-03-17|
S-1165B50MC-N7JTFG|101128|150|2009-03-17|
S-1200B19-M5T1G|100991|231000|2009-04-06|
S-1200B19-M5T1G|100991|105000|2009-05-14|
S-1200B19-M5T1G|100991|93000|2009-05-27|
S-1200B19-M5T1G|100991|99000|2009-06-03|
SDS-035B12|100816|10|2010-06-09|
SODIMM-2GB/D3L/1066/I|100816|20|2019-09-10|
SODIMM-4GB/D3L/1333/I|101623|30|2020-09-28|
SODIMM-4GB/D3L/1333/I|101623|20|2020-10-05|
SODIMM-4GB/D3L/1333/I|101623|0|2020-10-28|Núria Soler
SODIMM-4GB/D3L/1333/I|101623|0|2020-12-22|Núria Soler
SODIMM-4GB/D3L/1333/I|101623|20|2021-10-07|Núria Soler
SODIMM-4GB/D3L/1600/I|100816|30|2020-10-27|Núria Soler
SODIMM-4GB/D3L/1600/I|100816|30|2020-10-27|Núria Soler
SODIMM-4GB/D3L/1600/I|100816|80|2020-10-27|Núria Soler
SODIMM-4GB/D3L/1600/I|101623|20|2020-11-30|Núria Soler
SODIMM-4GB/D3L/1600/I|101623|4|2021-07-29|Núria Soler
SODIMM-4GB/D4/2133/I|102744|1|2020-02-19|
SODIMM-8GB/D4/2133/I|104196|1|2019-04-15|
SPS-060-T2|100832|5|2009-03-16|
SPS-060-T4|100832|5|2009-03-16|
SR3YP-400A|100177|1300|2009-04-06|
SR3YP-400A|100177|100|2009-05-13|
SR3YP-400A|100177|200|2009-06-03|
SR3YP-400A|100177|2000|2010-11-23|
SREL036-IPP-W|100883|2000|2021-03-16|Núria Soler
SUPER2EL-FS3528CW-24|102231|7|2014-02-19|
SUPER2EL-FS3528WW-24|102022|10|2013-06-03|
T81200AC-840|101578|29|2014-11-24|
T8600AC-860|101995|12|2013-10-22|
TA10DH82D1E02|101623|0|2018-03-19|
TF-GENE-CV05-A10-12|100816|0|2016-03-22|
TF-GENE-CV05-A10-12|100816|20|2019-09-10|
TGS203-A14|100631|300|2010-07-16|
TGS203-A14|110356|1500|2009-02-27|
TGS203-A14|110356|500|2011-07-06|
TGS203-A14|110356|500|2012-06-20|
TGS203-A14|110356|9300|2015-12-23|
TGS2600-B00|101554|10|2009-12-28|
TGS2610-C00|101554|10|2009-12-28|
TGS2611-E00|101554|10|2009-12-28|
TGS5042-A00|101410|1000|2021-01-22|Núria Soler
TGS5042-A00|101410|2000|2021-07-28|Núria Soler
TGS813|100883|100|2009-06-29|
TJG-533-V-T+R|100068|4000|2010-01-14|
TLL-61BGS-V-B|101290|300|2010-06-28|
TLL-61BRS-V-B|101290|300|2010-06-28|
TLL-61BYSV-B|101290|300|2010-06-28|
TLL-61BYSV-B|101290|150|2011-01-31|
TOUCH-15-CAPPROY/ZYBRID+IR|101623|30|2020-09-28|
TOUCH-RES-185/GTOUCH|100816|4|2016-03-31|
TOUCH-RES-185/GTOUCH|100816|20|2019-09-10|
TOUCH-RES-185/GTOUCH|100816|30|2020-10-27|Núria Soler
TV070|101623|20|2020-10-05|
TV070|101623|0|2020-10-28|Núria Soler
TV070|101623|0|2020-12-22|Núria Soler
TV070|101623|20|2021-10-07|Núria Soler
UDN2981A-T|120338|1370|2010-09-10|
UIBX-250-BW-N3/2G-R20|101623|20|2020-10-05|
UIBX-250-BW-N3/2G-R20|101623|0|2020-10-28|Núria Soler
UIBX-250-BW-N3/2G-R20|101623|0|2020-12-22|Núria Soler
UIBX-250-BW-N3/2G-R21|101623|20|2021-10-07|Núria Soler
VFM161LSCR2-S4|100009|200|2009-02-26|
WSSFM10R1AT|100841|100|2019-06-20|
YE10-T1L2|101506|100|2009-10-14|
YE10-T1L2|101506|120|2010-04-29|
YE10-T1L2|101506|180|2011-04-13|
YE10-T1L2|101506|0|2013-12-16|
YE10-T1L2|101985|0|2011-09-02|
YE10-T1L2|120053|160|2011-05-27|
YF01T8|100177|420|2009-04-06|
YF01T8|100177|600|2010-01-25|
YF01T8|100177|720|2011-12-01|
YF01T8|100177|720|2013-04-02|
YF01T8|100177|720|2013-04-17|
YF01T8|100177|720|2013-05-16|
YF01T8|100177|720|2013-06-05|
YK03T1|100932|320|2010-11-23|
YK03T1|100932|2240|2011-01-19|
YK03T1|100932|1920|2011-01-25|
YK03T1|120053|0|2010-12-17|
ZTBX18-60020|101623|4|2021-07-29|Núria Soler
