name|product_code|warehouse_id|location_id|security_stock|create_date|create_user
OP/07868|LAT-4-747W-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07869|LAT-5-747-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07870|LAT-5-747YL-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07871|LAT-5-759-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07872|LAT-61-799-2.5|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07873|LAT-6-747-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07874|LAT-7-410-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07875|LAT-7-747-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07876|LAT-7-773-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07877|LAT-8-747W-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07878|LAT-9-747W-10|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07879|LB6021-21NGRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07880|LB6021-21-UR96NGRN|Almacén|MONO/Stock|0|2011-10-03|
OP/07881|LB6021-21-UR96NGRN|Almacén|MONO/Stock|0|2011-10-03|
OP/07882|LB6021-21-UR96NGRN|Almacén|MONO/Stock|0|2013-11-19|
OP/07883|LB6021-21-UR96NGRN|Almacén|MONO/Stock|0|2016-02-19|
OP/07884|LB6021-21-UR96NGRN|Almacén|MONO/Stock|0|2016-02-19|
OP/07885|LB6041R-21NRRN|Almacén|MONO/Stock|0|2013-11-19|
OP/07886|LB6041R-21NRRN|Almacén|MONO/Stock|0|2016-02-19|
OP/07887|LB6041R-21NRRN|Almacén|MONO/Stock|0|2016-02-19|
OP/07888|LBSN-EC3G4303E024BP|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07889|LBSN-EC3R1303E024BP|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07890|LBSN-EC3W3303E024BP|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07891|LBSN-WA3W2301F012DC|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07892|LBSN-WA3W2301F030DC|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07893|LC-128X15-B7644|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07894|LC2511-21-UR93EWRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07895|LC2641R-21RRRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07896|LC3011-13-UR93EWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07897|LC320WXN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07898|LC3611-11-M173-RRAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07899|LC3641-11EWA040|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07900|LC3671-11-M1-RRAK|Almacén|MONO/Stock|0|2012-11-08|
OP/07901|LC3921-11BEWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07902|LC3921-11EWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07903|LC3921-11-HE-EWA035|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07904|LC3941-11EWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07905|LC5221-11EWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07906|LC5271-11-M1-EWA035|Almacén|MONO/Stock|0|2009-05-05|
OP/07907|LC52B1-11-URC3-ZEWAK|Almacén|MONO/Stock|0|2011-12-14|
OP/07908|LC52W1-11WMURC3ZEWAK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07909|LC5611-11-M173-EWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07910|LC5611-11-UR93EWRS|Almacén|MONO/Stock|0|2012-05-18|
OP/07911|LC5612-UR93S12EWA045|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07912|LC5621-11EWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07913|LC5622-UR96-S12-EWA045|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07914|LC5641-11EWR040|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07915|LC56C4-11EWRS|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07916|LC76FAAMD|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07917|LC79DAEK|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07918|LC79DAMD|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07919|LC8041R-11-M07-RRRN|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07920|LC86LICMD|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07921|LCB500|Almacén|MONO/Stock|0|2021-12-04|OdooBot
OP/07922|LCBSB6|Almacén|MONO/Stock|0|2021-12-04|OdooBot
