name|parent_id|complete_name
ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS|ACTIVIDADES FINANCIERAS Y DE SEGUROS / ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS / ACTIVIDADES AUXILIARES A SEGUROS Y FONDOS DE PENSIONES|ACTIVIDADES FINANCIERAS Y DE SEGUROS / ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS / ACTIVIDADES AUXILIARES A SEGUROS Y FONDOS DE PENSIONES / ACTIVIDADES DE AGENTES Y CORREDORES DE SEGUROS
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA||AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA
AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA
ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA / ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA
ACTIVIDADES DE APOYO A LA AGRICULTURA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA / ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA / ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA / ACTIVIDADES DE APOYO A LA AGRICULTURA
INDUSTRIAS EXTRACTIVAS||INDUSTRIAS EXTRACTIVAS
ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS
ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL
ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL / ACTIVIDADES DE APOYO A LA EXTRACCIÓN DE PETRÓLEO Y GAS NATURAL
ACTIVIDADES DE APOYO A LA GANADERÍA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA / ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA|AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA / AGRICULTURA, GANADERÍA, CAZA Y SERVICIOS RELACIONA / ACTIVIDADES DE APOYO A LA AGRICULTURA, A LA GANADERÍA Y DE PREPARACIÓN POSTERIOR A LA COSECHA / ACTIVIDADES DE APOYO A LA GANADERÍA
ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS
ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS|INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A LAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS / ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS
ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI|ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRENIMI / ACTIVIDADES DE BIBLIOTECAS, ARCHIVOS, MUSEOS Y OTR
