"location_id"|"product_qty"|"product_code"|"product_lot_id"
"MONO/Stock"|"200"|"57RTN-2W-25OHM"|""
"MONO/Stock/Dotación"|"12"|"60-475-080R"|""
"MONO/Stock/Dotación"|"24"|"60-475-160R"|""
"MONO/Stock"|"1"|"63040-010060-120-RS"|""
"MONO/Stock"|"24"|"63040-010096-100-RS"|""
"MONO/Stock"|"3"|"647-UVR1H331MPD"|""
"MONO/Stock"|"6"|"651-1725656"|""
"MONO/Stock"|"3"|"652-RLB0914-560KL"|""
"MONO/Stock/Dotación"|"1000"|"6MHZHC49SMD"|""
"MONO/Stock/Dotación"|"1"|"733-980"|""
"MONO/Stock"|"39"|"7W9000000020"|""
"MONO/Stock"|"3"|"851-RCR664DNP-4R7M"|""
"MONO/Stock"|"3"|"871-B72214S0350K551"|""
"MONO/Stock/Dotación"|"4500"|"8MHZ-AT49"|""
"MONO/Stock/Dotación"|"3"|"90KFM212"|""
"MONO/Stock"|"773"|"910179"|""
"MONO/Stock/Restitución"|"1"|"910179"|""
"MONO/Stock"|"18"|"910179/MC"|""
"MONO/Stock/Restitución"|"1"|"910179-SAT"|""
"MONO/Stock/Dotación"|"14"|"91301314"|""
"MONO/Stock"|"23"|"91301317"|""
"MONO/Stock"|"48"|"91301318"|""
"MONO/Stock"|"1"|"91301334"|""
"MONO/Stock"|"46"|"91301337"|""
"MONO/Stock"|"1"|"91301406A"|""
"MONO/Stock/Dotación"|"7"|"91400503B"|""
"MONO/Stock"|"51"|"91-87297-000"|""
"MONO/Stock"|"20"|"9741364A00"|""
"MONO/Stock"|"1"|"9761SMIE00"|""
"MONO/Stock"|"8200"|"A10340H"|""
"MONO/Stock/Dotación"|"2000"|"A1210LUA-T"|""
"MONO/Stock/Dotación"|"5"|"A1341LKTTN-T"|""
"MONO/Stock"|"160"|"A-150FAO-27"|""
"MONO/Stock"|"110"|"A316RW"|""
"MONO/Stock"|"3"|"A3908EEETR-T"|""
"MONO/Stock/Dotación"|"391"|"A3967SLB-T+"|""
"MONO/Stock"|"16"|"A71-808301-000G"|""
"MONO/Stock"|"1"|"A81-022007-016G"|""
"MONO/Stock"|"1"|"ACE-A615B-RS-R10"|""
"MONO/Stock"|"40"|"ACE-A622C-R10"|""
"MONO/Stock/Dotación"|"1"|"ACE-R4140AP-RS"|""
"MONO/Stock"|"1"|"ACS-1U01-BT4-1900-V10"|""
"DEP/Stock"|"1"|"ADAP-25-MSATA"|""
"MONO/Stock/Dotación"|"6"|"AFL-07A-N270/R/1G-R24"|""
"MONO/Stock/Dotación"|"1"|"AFL2-W07A-N26/R/2G-R12"|""
"MONO/Stock"|"5"|"AGNS_SMA"|""
"MONO/Stock"|"2"|"ALETA-MONTAJE/BOX66XX"|""
"MONO/Stock/Dotación"|"22"|"ALFOMBRA-TERMICA-40X20/I"|""
"MONO/Stock/Dotación"|"23"|"ALFOMBRILLA-TERMICA/PR"|""
"MONO/Stock"|"36"|"ALFOMBRILLA-TERMICA/SB"|""
"MONO/Stock"|"1"|"ALU-ANCHO"|""
"MONO/Stock"|"1"|"AM100-868"|"6127A2104989"
"MONO/Stock"|"1"|"AM100-868"|"6127A2100966"
"MONO/Stock"|"1"|"AM100-868"|"6127A2148426"
"MONO/Stock"|"1"|"AM100-868"|"6127A2135579"
"MONO/Stock"|"1"|"AM100-868"|"6127A2141300"
"MONO/Stock"|"1"|"AM100-868"|"6127A2137185"
"MONO/Stock"|"1"|"AM100-868"|"6127A2136836"
"MONO/Stock"|"1"|"AM100-868"|"6127A2142536"
"MONO/Stock"|"1"|"AM100-868"|"6127A2115349"
"MONO/Stock"|"1"|"AM100-868"|"6127A2379029"
"MONO/Stock"|"1"|"AM100-868"|"6127A2310643"
"MONO/Stock"|"1"|"AM100-868"|"6127A2312380"
"MONO/Stock"|"1"|"AM100-868"|"6127A2357172"
"MONO/Stock"|"1"|"AM100-868"|"6127A2395728"
"MONO/Stock"|"1"|"AM100-868"|"6127A2385306"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4367550"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4338377"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4360531"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4372495"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4333677"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4352671"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4363416"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4389087"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4385295"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4348414"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4356677"
"MONO/Stock"|"1"|"AM104-868M"|"6127A2175359"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4394069"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4370171"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4385276"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4353834"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4397911"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4342573"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4350252"
"MONO/Stock"|"1"|"AM104-868M"|"6127A2374417"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4360950"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4355002"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4319772"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4350612"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4318289"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4385805"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4398632"
"MONO/Stock"|"1"|"AM104-868M"|"6127A4397946"
"MONO/Stock"|"1"|"AM107-868M"|"6128B1684571"
"MONO/Stock"|"1"|"AM107-868M"|"6128B1672450"
"DEP/Stock"|"1"|"AM107-868M"|"6128B1671693"
"MONO/Stock"|"165"|"AMPLIFICADOR-AUDIO/ALVIC"|""
"MONO/Stock/Restitución"|"1"|"AMPLIFICADOR-AUDIO/ALVIC"|""
"MONO/Stock"|"5"|"AMPLIFICADOR-AUDIO/ALVIC-SAT"|""
"MONO/Stock"|"89"|"AMT16003A"|""
"MONO/Stock/Dotación"|"4"|"AMT2505"|""
"MONO/Stock"|"71"|"AMT2513"|""
"MONO/Stock"|"4"|"AMT2525"|""
"MONO/Stock"|"3"|"AMT9509"|""
"MONO/Stock/SAT"|"18"|"AMT9509"|""
"MONO/Stock"|"61"|"AMT9541"|""
"MONO/Stock"|"12"|"AMT-P3007-02A"|""
"MONO/Stock"|"15"|"AMT-P3011-C20"|""
"MONO/Stock"|"4"|"AMT-P3011-C20-SAT"|""
"MONO/Stock"|"5"|"APL-02-734-10"|""
"MONO/Stock"|"12"|"ARDUINO-UNO-SMD-REV3"|""
"MONO/Stock/Delegación Vallcarca"|"3"|"ARDUINO-UNO-SMD-REV3"|""
"MONO/Stock"|"220"|"ARIADNA-MPEY20010"|""
"MONO/Stock"|"2"|"ARM-11 RS"|""
"MONO/Stock"|"1"|"AS-25A-RS"|""
"MONO/Stock"|"10"|"AT070TN94"|""
"MONO/Stock"|"1"|"AT102038-20191015-2"|""
"MONO/Stock"|"20"|"AT102581-20190605-1"|""
"MONO/Stock"|"1"|"ATP-RP31"|""
"MONO/Stock"|"2400"|"ATS667LSGTN-T"|""
"MONO/Stock"|"1"|"BANDEJA-INTERIOR-CVI"|""
"MONO/Stock"|"53"|"BC2EHDVM-03-P"|""
"MONO/Stock"|"106"|"BC2ESDV-03-P"|""
"MONO/Stock"|"50"|"BC2ESDV-03-P-SAT"|""
"MONO/Stock"|"3"|"BC68JA-02-STD"|"160221"
"MONO/Stock"|"2"|"BC68JATEB-KIT"|""
"DEP/Stock"|"1"|"BC68JATEB-KIT"|""
